OLGA       : ROSARIO NANCY 
TAYLOR     : SANTIAGO 
ERIKA      : RICK BENJAMIN 
WILFREDO   : MAVIS 
STRICKLAND : LITTLE GRIMES 
CASANDRA   : SERRANO 
FREDDIE    : ANTONE 
ISRAEL     : BOWEN JANICE 
AMANDA     : TOM 
MOLLIE     : JAY PAT 
GILL       : ELVIRA RANDOLPH BURRIS 
BONITA     : LEON 
GARRY      : WOODWARD KATY CHARLENE 
JORDAN     : WALTERS MENDOZA 
KATHY      : REESE BARRERA 
DAPHNE     : KATHERINE MILLICENT RACHAEL 
WALSH      : CUNNINGHAM PERRY JEFFERSON 
ANDREA     : ISIAH CALVIN 
TAMERA     : HENDERSON BRADSHAW 
NOE        : CURRY 
GIOVANNI   : WILKINSON HELENA 
WILL       : MAE ROBINSON 
JOYCE      : MAYNARD 
WHITLEY    : STEWART ESTRADA BAIRD 
WEEKS      : MARCIA DIXON 
HILARIO    : PAM LINDSEY TYLER 
CHAN       : HUMBERTO HEAD STANLEY 
BEST       : BOWEN LEANNE FOSTER 
FLORES     : INA DECKER ERICKSON 
JOANNA     : JIM 
DONNY      : ROBINSON ROSARIO 
BRADLY     : ROD JIMMIE 
BUTLER     : ART RICHMOND 
VASQUEZ    : RANDALL ANDREW 
NICHOLS    : NANCY 
KERRY      : HOOD BOBBI IVANA 
BORIS      : SWEET 
VICKY      : LLOYD BRUCE 
COOK       : RANDOLPH HOLDER PERCY 
ROY        : IAN TURNER 
BOWERS     : MARSH CAROLE 
HEATH      : FERRELL CHERRY ENID 
STOUT      : JUANITA SHERMAN ROBERT 
CLYDE      : ANTONIO 
DANIELLE   : NEIL SUSAN PHOEBE 
PHILIP     : NORA 
HANEY      : MARY AHMED BLANCHARD 
RUTLEDGE   : GREGORY DOYLE 
DONA       : ERNIE SALVATORE 
LOURDES    : MILDRED BRADSHAW HAYS 
MCFADDEN   : LINDA NOEL 
TIMOTHY    : LORENZO PHELPS BRAY 
DIANE      : CAIN COLEMAN 
NEAL       : FINLEY 
KATHARINE  : SARGENT ALVAREZ SIMS 
KRISTINA   : KRAMER 
BOBBIE     : BORIS MCCALL WALTON 
MANUEL     : DAVENPORT NOLAN FINLEY 
ANNMARIE   : WILLARD BRADLEY 
SCOTT      : KELLEY STANTON 
PECK       : CLINT FRANKLIN 
CANTRELL   : TONI STRONG MONTOYA 
JULIO      : LESTER 
ABEL       : MCCALL WILLIE 
ROCCO      : DYLAN 
FIGUEROA   : ROMAN 
JULIA      : MONICA 
HENSLEY    : OCTAVIO ANNETTE AUBREY 
ROXANNE    : ELVA BUCKLEY 
BURTON     : JOSE MARCY FERN 
GLADYS     : ALBERTO NUNEZ 
SIDNEY     : ALYSON 
WOODWARD   : PETTY LEACH LEVI 
LAMBERT    : OCTAVIO FERNANDEZ MILLS 
DEANA      : QUINCY TANYA 
CAROLYN    : ARNULFO HECTOR 
CUNNINGHAM : KLINE BUCKNER 
SARA       : BARBRA ROBLES 
KERI       : HELGA 
GONZALO    : MORRIS TIMMY MEADOWS 
DOYLE      : IGNACIO 
ADAM       : BRYAN KIP DARRELL 
IGNACIO    : ANIBAL 
GREGORY    : THURMAN OLA BROCK 
WOLFE      : MARISSA 
MILES      : ABEL HOLDER ROXANNE 
HORN       : ESTRADA 
MORRIS     : BRIANA 
STARK      : VICTOR BRIGHT NEWTON 
LORENZO    : KARYN KOCH RODGERS 
KENNEDY    : ANDREW CECELIA 
ROBLES     : WALSH ALYSON CASTRO 
LEBLANC    : WHITE RONNY CHANDLER 
REUBEN     : CONRAD 
LYMAN      : KERI SIMON SPENCE 
DALE       : SAMUEL WISE 
DARCY      : POLLARD 
SERGIO     : CECELIA CASTRO ELIJAH 
DONNA      : JAMAR PRISCILLA 
ENRIQUE    : SIMONE JERALD 
SHERYL     : LENORA BAKER MOSLEY 
MARTINEZ   : GARZA WOLFE JOANNA 
ART        : HENDRICKS JAMAR 
LOTTIE     : VALERIE EARL JACOBS 
CHERI      : KLINE RAMSEY JARVIS 
COLLIER    : MERLIN 
HINTON     : DINO HUFFMAN 
HUBER      : FRANKLIN 
MIKE       : VARGAS 
RONALD     : JARROD SIMPSON 
MCCALL     : AYERS BRIDGET WILKERSON 
ALFREDA    : MADDEN 
KARYN      : JIM 
THOMPSON   : VONDA 
HURLEY     : VICKI BOBBI CONSUELO 
HULL       : CAROLYN 
MARCI      : ROBINSON MCMAHON 
TAMMI      : AVA WEBSTER BURGESS 
ELISEO     : WASHINGTON LORENA 
CAMACHO    : PARRISH DON 
LENORE     : BURKS 
BOYD       : HODGE 
HEIDI      : HART 
CARISSA    : MARGARITA ISABELLA EARNEST 
MALDONADO  : BARNETT 
CARMINE    : SOSA 
PAULETTE   : MAVIS JESSIE 
HOPKINS    : DUKE 
MARYELLEN  : DEANA 
MOSS       : LEONARD 
CHANDLER   : MOLLIE GARZA COMPTON 
GRETA      : WATTS 
LORRAINE   : MILLS WALDO ABRAHAM 
RASMUSSEN  : NICHOLS KENNEDY GALLAGHER 
CROSS      : MARTHA LINDSAY STEPHENS 
AYERS      : ROBERT LENORA 
BEACH      : ELIZA MILLICENT BRADFORD 
ODOM       : FRANKIE ROWE 
KENDALL    : CASEY KELLEY 
PAM        : SELENA EDGARDO 
VICTORIA   : SALINAS FRY MANNING 
DENA       : CAIN BOBBIE MCFADDEN 
LANE       : DIONNE 
SUAREZ     : EMILE LITTLE 
MARA       : WALTON ANTHONY HENRIETTA 
CLAY       : STANLEY 
HOLLIE     : CATHRYN 
CHAVEZ     : MASSEY MARYELLEN 
LES        : MONTOYA ROY RAYMOND 
THURMAN    : CASSIE MERCADO GLASS 
HUGH       : CINDY ELBERT 
SCHULTZ    : TERRI 
SAMUEL     : MARISOL STANLEY 
FRANCESCA  : CLAYTON HOOD 
HOLCOMB    : KELLER STRONG GILES 
SHANA      : ALBA 
BUDDY      : BRENDAN FREDERIC FUENTES 
NIGEL      : INGRID 
MILLIE     : ENGLISH JOY ISIAH 
RICHARDS   : FLOYD BARNES 
BERGER     : XAVIER ARTHUR 
BURCH      : BRYAN GENARO ADKINS 
SOLIS      : ALBA BRANDI 
FARLEY     : HENDRIX JACKSON 
DOMINGO    : JULIET JENNINGS 
DOROTHEA   : HAWKINS ROJAS JESSICA 
ELIZA      : JOSUE 
RODRIGUEZ  : HOGAN VICKI 
JOSEPH     : SHEPHERD 
GALEN      : FLORINE HOOD 
MOLINA     : CONSTANCE DELMAR LUCIEN 
RICARDO    : CLEVELAND REYES 
CARMELO    : MARVIN HEATH PACHECO 
RODGERS    : DEJESUS TONI 
ORR        : HOGAN KELLER 
DAWN       : DENIS 
PETER      : SAUNDERS BRADSHAW 
LULU       : SCOTT DEAN 
TREY       : NIELSEN HERIBERTO RODERICK 
HENDRIX    : RICARDO ALICIA ROCKY 
SUSAN      : TRICIA RAMIRO 
LUPE       : ROY 
JONI       : POOLE STACIE 
HERMINIA   : LANE MCCULLOUGH KOCH 
EVERETT    : JOHANNA 
WEAVER     : JORDAN CHERI 
NETTIE     : HUGH ERNA MCCARTY 
WILLIS     : GILMORE 
VERN       : BRYAN WINFRED PARSONS 
RITA       : MASSEY TABITHA DEWAYNE 
EMILE      : AIDA 
FERNANDEZ  : BRIGITTE INES ROSA 
ALVAREZ    : HANSON BRAY GIBSON 
ED         : JARED ROBERT 
BOYER      : PAULETTE 
FLORINE    : HOLDER BILLIE WILCOX 
FOWLER     : ROBT DANIEL OLSEN 
LATISHA    : REINALDO DIXIE 
LETICIA    : BUCK MERCER 
CARLO      : KARYN JOAN 
CONRAD     : DARRYL 
ELVIRA     : FULTON FERRELL 
MERLIN     : LEONARD 
KOCH       : ART HARRISON TANYA 
PARK       : MACIAS LANGLEY 
KEVEN      : HENDRIX KATY 
ARMSTRONG  : JACOBS 
KURT       : KNOWLES RASMUSSEN 
ZAMORA     : FRANCES MERCADO NIKKI 
SEBASTIAN  : FRY 
AL         : RICHARDSON ANTONE RAMOS 
MARCUS     : FANNIE WILLARD FRY 
MICHEAL    : ROSETTA POLLARD 
BLANCHARD  : JORDAN GILL 
TREVINO    : FLOYD 
DUSTY      : HEAD JILL PETERSEN 
BRIGITTE   : DAREN RICARDO ETTA 
ROSS       : COLEMAN 
SONYA      : HOMER POTTS PATSY 
LELIA      : MCGOWAN BRADSHAW MARY 
ROSEANN    : CORRINE 
OTIS       : MACK 
NORRIS     : DEANDRE BARKER 
SALAZAR    : DALE QUINN CONLEY 
MAE        : CARLO ETTA 
WILEY      : MARGERY 
LEVINE     : INES ROMERO 
NITA       : CLYDE 
CATHERINE  : HULL 
BARKER     : DOMINGO HANNAH CHELSEA 
JESSIE     : TRENTON 
PATEL      : CROSS 
LORI       : LARSON GARRY TERRENCE 
TERRI      : WILFORD 
MAYS       : NORMA 
FOREMAN    : TREVINO CASSIE 
ROCKY      : ROSALES 
GERARDO    : ERICK DAWN 
FRANCES    : CECIL ROSETTA 
EDGARDO    : SALINAS JULIAN ANASTASIA 
PORTER     : OTTO JOHNSTON AUTUMN 
NANETTE    : HUGH JANINE RIOS 
PACHECO    : ISSAC TATE 
KATHLEEN   : CARDENAS BRUCE HIGGINS 
SHIRLEY    : GARRY 
AURELIA    : MAYNARD 
POPE       : MAVIS AVA 
VICTOR     : HUBBARD KEVIN VALERIE 
DANIELS    : WILEY 
MARTHA     : DYLAN JOANNA 
BRIANA     : VEGA ADKINS 
REYNA      : MARCUS HOUSTON DAVIS 
QUINCY     : RICO 
HOLDER     : SANFORD CANDY BRADSHAW 
NAPOLEON   : MYRA FRANCIS 
GABRIELA   : RAMOS 
BETHANY    : PARKS DENNIS REESE 
SHEPARD    : SUAREZ CASEY 
LAUREL     : VANCE BEACH 
FLORENCE   : SWANSON 
ROSA       : TURNER ANTHONY 
HAROLD     : RAYMOND LANCASTER KARYN 
SANDOVAL   : SOLOMON MENDOZA 
HENRIETTA  : ROBERT MOSLEY FRYE 
WHITFIELD  : LORNA FROST GRETA 
CLARA      : REEVES HENSLEY ROSEANN 
FULTON     : MARION AMANDA LESLIE 
ROBIN      : TOMMY 
WALTER     : RITA DELORIS 
JANINE     : ADKINS MCCULLOUGH LUCIANO 
BENTLEY    : WOLF 
JASPER     : NOELLE SALVATORE BOYLE 
ERNESTINE  : NOLAN LEVI 
GARZA      : OSCAR GALEN 
EVANGELINA : SUZETTE WOODWARD LACY 
SHAWN      : DEWAYNE JEWELL 
INGRID     : SUZETTE 
LINDA      : DELACRUZ STEVEN 
SIMS       : MILLIE 
MURIEL     : NANETTE HIRAM 
ANNETTE    : ELLIS LUCIANO 
LORIE      : GARRY 
MYRA       : MERLIN ROBIN 
GLASS      : JARRED 
LINDSAY    : GIBSON 
ROBT       : ROSEANN ALVIN PETTY 
PRUITT     : ROBBY BUCKLEY MARTHA 
FOSTER     : SELLERS BLANCHARD 
VINCENT    : TRAVIS 
NOELLE     : ADAM CHAN 
GOODMAN    : SHERMAN DEWITT NORRIS 
RYAN       : TRICIA GLORIA 
RICHMOND   : GIBBS 
LUCAS      : DIXIE ALTON AVIS 
DYER       : CAMACHO 
RUSSELL    : JARRED ANNETTE ANA 
BOB        : BARNES TIMMY NEAL 
MARIANA    : RUSSO GUY MAYER 
CRANE      : GONZALEZ LAUREN 
ADELINE    : HUFFMAN ELIZA ELVIRA 
GINGER     : VICKY TRENTON 
NANNIE     : LUCAS PHELPS YANG 
MALLORY    : FISCHER MCMILLAN LORENZO 
REESE      : MOSS 
WILBUR     : FULTON MARTINEZ 
CLEVELAND  : SERRANO PARSONS 
HOLT       : MAURICE POOLE MARIE 
LEONEL     : OLA HOLLOWAY DUNCAN 
BOOTH      : JEWELL WATERS 
FERN       : ENRIQUE 
CALDWELL   : WOODARD 
WILFORD    : ROSA CONNER ALEXANDER 
HENDERSON  : CASE HENRY 
LANCASTER  : BETTE OCTAVIO 
MARGARITO  : WENDY 
BOLTON     : IVANA MOHAMED 
BRUCE      : MICAH CHRISTI 
DENNIS     : KEVEN ERIKA REFUGIO 
HAYS       : CONTRERAS ALFONSO 
SUZETTE    : TRACEY EARLENE DAVIS 
BROWN      : MARIBEL LEMUEL SOTO 
KELLEY     : BORIS 
RODRIQUEZ  : COLLIER MCDONALD 
JERALD     : ROBERTSON 
DELACRUZ   : PATEL SIMON 
FREDRIC    : CANDICE BULLOCK MCKEE 
ANA        : CHUCK 
JIMMIE     : MARGARITA 
MYERS      : CATHERINE DANIEL 
EARL       : MOSS 
VIRGIE     : TORRES 
STEVEN     : SAM ALFREDA EFREN 
ANTONIA    : SELLERS MAXINE LACY 
LIZZIE     : SHARON 
CATHRYN    : MCLEOD 
MARGERY    : MELBA PICKETT MCINTYRE 
SNOW       : BLEVINS JILLIAN WILKINSON 
WISE       : CANDICE 
AUGUSTINE  : COLLINS SALINAS 
GLORIA     : FREDDIE ALBA MERCADO 
CONTRERAS  : STOUT MICHEAL 
FLEMING    : ELDON ROCKY 
CAMERON    : DERICK 
ESMERALDA  : ROBIN PUGH 
HICKS      : RODRIQUEZ RANDALL ELOISE 
OMAR       : TRAVIS 
GEORGE     : LETITIA ROSA HARRINGTON 
AURORA     : DAPHNE ELMA 
PRISCILLA  : JEWELL MCLAUGHLIN AUGUSTINE 
CALLAHAN   : CHAN AMIE 
ROSEMARY   : SWANSON BEASLEY 
FRANCIS    : AUTUMN RICHARDS MYRA 
TAMMY      : STACIE BOYER JAMEL 
LEANN      : BURCH 
ERICKA     : PETERSEN LESSIE HOLT 
JANETTE    : ELVIRA HAYDEN KELLER 
EARLENE    : BULLOCK 
JACOB      : TURNER 
CONNER     : BRYON 
DELMAR     : AISHA 
TATE       : DALTON KERI 
KIP        : ERIK COLLINS 
WALLS      : MENDOZA 
NIKKI      : MARCIA PITTMAN CLEMONS 
GUTHRIE    : DUFFY DAREN ODONNELL 
ASHLEE     : JOSE DOROTHEA 
MASSEY     : COMBS 
